45.202.246.172:443#MO [377.18ms 0.52Mbps]
89.147.109.212:443#IS [379.58ms 1.18Mbps]
146.56.188.74:443#KR [385.44ms 4.7Mbps]
64.176.15.110:2053#CL [389.4ms 4.14Mbps]
139.84.236.69:443#ZA [390.21ms 3.46Mbps]
134.255.210.217:443#CY [402.94ms 1.73Mbps]
89.185.82.38:8443#MK [411.16ms 3.42Mbps]
188.240.213.98:8443#KG [412.8ms 4.46Mbps]
188.240.213.98:2053#KG [413.53ms 4.35Mbps]
102.209.117.68:443#ZA [430.53ms 3.49Mbps]
45.83.21.111:8443#IS [436.37ms 1.79Mbps]
156.244.43.22:443#QA [440.31ms 0.19Mbps]
185.48.250.164:443#RS [443.98ms 4.79Mbps]
64.176.11.9:8443#CL [444.11ms 0.0Mbps]
64.176.4.154:8443#CL [450.32ms 0.0Mbps]
193.201.15.39:443#CY [455.02ms 3.59Mbps]
38.54.29.210:2053#GR [485.21ms 1.41Mbps]
171.33.241.51:2053#UA [1029.6ms 0.0Mbps]
